87,502,1442,502,1442,599,87,599,UNIHAKKA INTERNATIONAL SDN BHD
525,592,1013,592,1013,654,525,654,16 JUN 2018 18:25
613,673,922,673,922,749,613,749,(867388-U)
197,751,1350,751,1350,839,197,839,12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN
335,845,1203,845,1203,926,335,926,TAMPOI,81200 JOHOR BAHRU,JOHOR
584,923,957,923,957,989,584,989,TAX INVOICE
41,1002,876,1002,876,1081,41,1081,INVOICE #: OR18061602170510
52,1141,171,1141,171,1203,52,1203,ITEM
520,1128,617,1128,617,1198,520,1198,QTY
1372,1102,1510,1102,1510,1153,1372,1153,TOTAL
61,1216,1001,1216,1001,1293,61,1293,SR I00100000035- 1 MEAT + 3 VEGE
59,1328,263,1328,263,1387,59,1387,RM6.69
54,1431,856,1431,856,1506,54,1506,SR I00100000015- VEGETABLE
61,1545,276,1545,276,1609,61,1609,RM1.03
526,1315,553,1315,553,1379,526,1379,1
522,1532,559,1532,559,1587,522,1587,1
1306,1289,1513,1289,1513,1348,1306,1348,RM6.69
1312,1503,1520,1503,1520,1557,1312,1557,RM1.03
933,1651,1518,1651,1518,1717,933,1717,TOTAL AMOUNT: RM7.72
1008,1730,1535,1730,1535,1796,1008,1796,GST @0%: RM0.00
1023,1820,1533,1820,1533,1890,1023,1890,ROUNDING: -RM0.02
1037,1896,1525,1896,1525,1963,1037,1963,NETT TOTAL: RM7.70
74,2051,472,2051,472,2121,74,2121,PAYMENT MODE
1322,2011,1533,2011,1533,2073,1322,2073,AMOUNT
76,2145,254,2145,254,2204,76,2204,CASH
81,2229,290,2229,290,2299,81,2299,CHANGE
1319,2108,1531,2108,1531,2169,1319,2169,RM7.70
1320,2191,1535,2191,1535,2250,1320,2250,RM0.00
83,2429,421,2429,421,2488,83,2488,GST SUMMARY
791,2407,1063,2407,1063,2468,791,2468,AMOUNT(RM)
1342,2396,1544,2396,1544,2451,1342,2451,TAX(RM)
87,2527,434,2527,434,2582,87,2582,SR = GST @0%
973,2498,1064,2498,1064,2548,973,2548,7.72
1447,2488,1541,2488,1541,2535,1447,2535,0.00
467,2620,1162,2620,1162,2697,467,2697,GST REG #000656195584
346,2692,1282,2692,1282,2773,346,2773,BAR WANG RICE@PERMAS JAYA
469,2787,1163,2787,1163,2862,469,2862,THANK YOU & COME AGAIN!
386,2866,1247,2866,1247,2941,386,2941,LIKE AND FOLLOW US ON FACEBOOK!
436,2953,1209,2953,1209,3025,436,3025,FACEBOOK.COM/BARWANGRICE
