263,236,348,236,348,249,263,249,PREMIO
99,258,511,258,511,280,99,280,PREMIO STATIONERY SDN BHD
213,286,396,286,396,304,213,304,(CO.NO.: 123769-W)
172,322,436,322,436,342,172,342,GST REG.NO.: 001032994816
196,348,412,348,412,371,196,371,NO 57, JALAN SS 3/29,
152,380,458,380,458,405,152,405,47300 PETALING JAYA, SELANGOR.
234,430,376,430,376,449,234,449,03-7874 8605
197,478,426,478,426,498,197,498,TAX INVOICE
48,508,155,508,155,527,48,527,INVOICE NO
178,510,314,510,314,528,178,528,: SS3-154439
50,540,98,540,98,558,50,558,DATE
176,541,432,541,432,561,176,561,: 20/03/2018 3:20:16 PM
50,570,122,570,122,588,50,588,CASHIER
176,570,227,570,227,589,176,589,: IVY
96,638,209,638,209,656,96,656,DESCRIPTION
321,639,355,639,355,659,321,659,QTY
398,638,447,638,447,656,398,656,PRICE
480,635,559,635,559,656,480,656,AMOUNT
62,670,69,670,69,685,62,685,1
80,667,106,667,106,685,80,685,SR
126,670,233,670,233,686,126,686,ENERGIZER
345,670,352,670,352,686,345,686,1
402,668,447,668,447,687,402,687,13.40
511,670,559,670,559,687,511,687,13.40
126,689,274,689,274,705,126,705,BATTERY AA 4'S
301,728,355,728,355,746,301,746,TOTAL:
510,728,559,728,559,746,510,746,13.40
277,758,356,758,356,777,277,777,DISCOUNT:
521,759,560,759,560,778,521,778,0.00
45,789,357,789,357,809,45,809,TOTAL SALES INCLUSIVE GST @6.00%:
508,792,556,792,556,810,508,810,13.40
214,819,353,819,353,839,214,839,CASH RECEIVED:
510,820,557,820,557,836,510,836,20.00
277,850,354,850,354,872,277,872,CHANGE:
521,851,560,851,560,869,521,869,6.60
87,898,538,898,538,916,87,916,STARTING 1ST APRIL, WE WILL NO LONGER BE ISSUING HANDWRITTEN
69,918,553,918,553,935,69,935,INVOICES, YOUR SERVICE JOBS SUCH AS PHOTOCOPY AND PRINTING ARE
77,938,541,938,541,953,77,953,REPLACED BY THE ORDER FORM ALONG WITH A COPY OF THIS RECEIPT.
42,974,577,974,577,990,42,990,ALL GOODS AND SERVICES ARE SUBJECTED TO THE 6% GST DURING CHECKOUT.
63,1038,562,1038,562,1055,63,1055,ALL GOODS SOLD ARE NOT RETURNABLE/REFUNDABLE. EXCHANGES ARE ONLY
127,1059,494,1059,494,1073,127,1073,ACCEPTABLE WITHIN 3 DAYS WITH A PROOF OF RECEIPT.
99,1076,524,1076,524,1092,99,1092,ALL CARTRIDGE & TONER SALES ARE FINAL A PROOF AND NON-REFUNDABLE.
145,1095,477,1095,477,1111,145,1111,NO CASH REFUNDS FOR CREDIT CARD PURCHASES.
45,1115,573,1115,573,1130,45,1130,NO REFUNDS OR EXCHANGES WILL BE ENTERTAINED WITHOUT PROOF OF RECEIPT.
191,1133,431,1133,431,1150,191,1150,TERMS AND CONDITIONS APPPLIED.
66,1255,194,1255,194,1275,66,1275,GST SUMMARY
240,1254,260,1254,260,1273,240,1273,%
323,1255,432,1255,432,1274,323,1274,AMOUNT(RM)
467,1255,542,1255,542,1274,467,1274,TAX(RM)
64,1286,91,1286,91,1303,64,1303,SR
222,1286,259,1286,259,1303,222,1303,6.00
386,1287,431,1287,431,1305,386,1305,12.64
505,1285,544,1285,544,1303,505,1303,0.76
146,1344,476,1344,476,1365,146,1365,THANK YOU FOR SHOPPING AT PREMIO
234,1365,390,1365,390,1387,234,1387,HAVE A NICE DAY!
187,1406,435,1406,435,1422,187,1422,FOR THE LATEST NEWS AND UPDATES
150,1423,473,1423,473,1443,150,1443,LIKE US ON FACEBOOK.COM/PREMIOSTATIONERY
